channel,city,region,customer_name,order_date,order_id,department,product_category_gender,product_sub_category,product_sku,product_name,distance_from_warehouse,price,cost_of_sale,discount,order_quantity,sales,gross_profit,gross_profit_margin
Small chain store,St. Stephens Ward,Kent,Alan D Rosenburg Cpa Pc,30.12.17,28774,Clothing,Men,Hoodies & Sweatshirts,MH01,Chaz Kangeroo Hoodie,40,34,576.60 ,0.10 ,32,1088,511,U
Supermarket,Abbey Ward,Buckinghamshire,Cap Gemini America,30.12.17,13729,Clothing,Men,Hoodies & Sweatshirts,MH01-L-Black,Chaz Kangeroo Hoodie-L-Black,160,37,109.90 ,0.10 ,9,333,223,67.0%
Local store,East Southbourne and Tuckton W,Bournemouth,"Elliott, John W Esq",31.12.17,37537,Clothing,Men,Hoodies & Sweatshirts,MH01-L-Gray,Chaz Kangeroo Hoodie-L-Gray,20,41,41.00 ,0.00 ,4,164,123,75.0%
Local store,Hawerby cum Beesby,Lincolnshire,"Mcmahan, Ben L",31.12.17,37537,Clothing,Men,Hoodies & Sweatshirts,MH01-L-Orange,Chaz Kangeroo Hoodie-L-Orange,40,30,470.40 ,0.10 ,32,960,490,51.0%
Franchise,Greets Green and Lyng Ward,West Midlands,Champagne Room,31.12.17,44069,Clothing,Men,Hoodies & Sweatshirts,MH01-M-Black,Chaz Kangeroo Hoodie-M-Black,65,25,104.00 ,0.10 ,16,400,296,74.0%
Franchise,Desborough,Northamptonshire,"Thompson, Michael C Esq",31.12.17,44069,Clothing,Men,Hoodies & Sweatshirts,MH01-M-Gray,Chaz Kangeroo Hoodie-M-Gray,50,39,419.30 ,0.10 ,43,1677,1258,75.0%
Franchise,Bargate Ward,Southampton,Wrangle Hill Auto Auct & Slvg,31.12.17,9285,Clothing,Men,Hoodies & Sweatshirts,MH01-M-Orange,Chaz Kangeroo Hoodie-M-Orange,35,22,25.70 ,0.10 ,3,66,40,61.1%
Franchise,Chirton Ward,Tyne & Wear,In Communications Inc,31.12.17,37537,Clothing,Men,Hoodies & Sweatshirts,MH01-S-Black,Chaz Kangeroo Hoodie-S-Black,130,31,733.20 ,0.10 ,43,1333,600,45.0%
Local store,Staple Hill Ward,South Gloucestershire,Bizerba Usa Inc,01.01.18,7909,Clothing,Men,Hoodies & Sweatshirts,MH01-S-Gray,Chaz Kangeroo Hoodie-S-Gray,60,38,639.20 ,0.00 ,29,1102,463,42.0%
Franchise,Abbey Ward,Buckinghamshire,Max Video,01.01.18,40354,Clothing,Men,Hoodies & Sweatshirts,MH01-S-Orange,Chaz Kangeroo Hoodie-S-Orange,160,33,248.80 ,0.00 ,29,957,708,74.0%
